genus,speciesname,record_id,month,day,year,plot,species,sex,wgt
Baiomys,taylori,16598,11,4,1989,21,BA,M,7
Baiomys,taylori,16599,11,4,1989,21,BA,M,6
Baiomys,taylori,16854,12,5,1989,3,BA,M,8
Baiomys,taylori,16951,1,7,1990,5,BA,F,9
Baiomys,taylori,17174,2,25,1990,5,BA,M,7
Baiomys,taylori,17190,2,25,1990,5,BA,F,7
Baiomys,taylori,17374,4,24,1990,1,BA,M,7
Baiomys,taylori,17486,4,26,1990,3,BA,M,7
Baiomys,taylori,17566,5,25,1990,3,BA,F,10
Baiomys,taylori,17616,6,22,1990,3,BA,F,8
Baiomys,taylori,17773,8,17,1990,3,BA,F,9
Baiomys,taylori,17935,10,16,1990,3,BA,F,8
Baiomys,taylori,18085,12,15,1990,19,BA,F,8
Baiomys,taylori,18132,12,16,1990,3,BA,F,8
Baiomys,taylori,18252,1,12,1991,3,BA,F,9
Baiomys,taylori,18323,2,16,1991,19,BA,F,18
Baiomys,taylori,18509,3,14,1991,3,BA,F,8
Baiomys,taylori,18574,4,19,1991,19,BA,F,12
Baiomys,taylori,18604,4,21,1991,3,BA,F,10
Baiomys,taylori,18666,5,13,1991,19,BA,F,7
Baiomys,taylori,18687,5,14,1991,3,BA,F,8
Baiomys,taylori,18768,6,13,1991,18,BA,F,9
Baiomys,taylori,18778,6,14,1991,3,BA,F,9
Baiomys,taylori,18828,7,12,1991,19,BA,F,11
Baiomys,taylori,18855,7,13,1991,3,BA,F,13
Baiomys,taylori,18935,8,7,1991,18,BA,F,10
Baiomys,taylori,19015,9,9,1991,19,BA,F,11
Baiomys,taylori,19109,10,10,1991,20,BA,F,6
Baiomys,taylori,19121,10,10,1991,2,BA,M,6
Baiomys,taylori,19144,10,11,1991,3,BA,"",""
Baiomys,taylori,19220,11,13,1991,19,BA,F,10
Baiomys,taylori,19249,11,13,1991,19,BA,M,8
Baiomys,taylori,19256,11,14,1991,3,BA,F,9
Baiomys,taylori,19260,11,14,1991,21,BA,M,7
Baiomys,taylori,19274,11,14,1991,3,BA,F,8
Baiomys,taylori,19380,12,7,1991,19,BA,F,9
Baiomys,taylori,19409,12,7,1991,19,BA,M,9
Baiomys,taylori,19474,12,8,1991,5,BA,F,8
Baiomys,taylori,19499,12,8,1991,3,BA,M,8
Baiomys,taylori,19514,12,8,1991,3,BA,M,8
Baiomys,taylori,19543,1,8,1992,19,BA,F,9
Baiomys,taylori,19567,1,8,1992,19,BA,M,8
Baiomys,taylori,19584,1,8,1992,19,BA,F,7
Baiomys,taylori,19698,2,7,1992,3,BA,M,7
Baiomys,taylori,19755,3,7,1992,19,BA,F,7
Baiomys,taylori,19775,3,7,1992,19,BA,F,9
Dipodomys,merriami,10001,2,17,1985,2,DM,F,39
Dipodomys,merriami,10003,2,17,1985,5,DM,F,33
Dipodomys,merriami,10004,2,17,1985,2,DM,F,37
Dipodomys,merriami,10005,2,17,1985,11,DM,M,41
Dipodomys,merriami,10006,2,17,1985,2,DM,F,42
Dipodomys,merriami,10008,2,17,1985,4,DM,F,36
Dipodomys,merriami,1001,6,9,1978,18,DM,F,42
Dipodomys,merriami,10011,2,17,1985,13,DM,F,33
Dipodomys,merriami,10016,2,17,1985,15,DM,F,32
Dipodomys,merriami,10017,2,17,1985,13,DM,M,33
Dipodomys,merriami,10020,2,17,1985,1,DM,F,34
Dipodomys,merriami,10021,2,17,1985,2,DM,M,44
Dipodomys,merriami,10026,2,17,1985,5,DM,M,49
Dipodomys,merriami,10027,2,17,1985,8,DM,M,41
Dipodomys,merriami,10028,2,17,1985,13,DM,M,38
Dipodomys,merriami,10031,2,17,1985,2,DM,F,37
Dipodomys,merriami,10032,2,17,1985,11,DM,F,32
Dipodomys,merriami,10034,3,16,1985,21,DM,F,40
Dipodomys,merriami,10035,3,16,1985,6,DM,M,43
Dipodomys,merriami,10036,3,16,1985,6,DM,M,37
Dipodomys,merriami,10037,3,16,1985,21,DM,F,43
Dipodomys,merriami,10038,3,16,1985,6,DM,F,41
Dipodomys,merriami,10039,3,16,1985,6,DM,F,33
Dipodomys,merriami,10041,3,16,1985,6,DM,M,46
Dipodomys,merriami,10042,3,16,1985,14,DM,F,42
Dipodomys,merriami,10046,3,16,1985,6,DM,M,50
Dipodomys,merriami,10047,3,16,1985,16,DM,F,35
Dipodomys,merriami,10050,3,16,1985,12,DM,M,47
Dipodomys,merriami,10052,3,16,1985,16,DM,M,44
Dipodomys,merriami,10056,3,16,1985,18,DM,F,34
Dipodomys,merriami,10059,3,16,1985,24,DM,F,39
Dipodomys,merriami,1006,6,9,1978,6,DM,M,38
Dipodomys,merriami,10060,3,16,1985,12,DM,M,43
Dipodomys,merriami,10061,3,16,1985,18,DM,M,43
Dipodomys,merriami,10062,3,16,1985,12,DM,F,38
Dipodomys,merriami,10063,3,16,1985,24,DM,M,40
Dipodomys,merriami,10065,3,16,1985,12,DM,F,40
Dipodomys,merriami,10066,3,16,1985,24,DM,"",""
Dipodomys,merriami,10069,3,16,1985,21,DM,M,43
Dipodomys,merriami,1007,6,9,1978,1,DM,F,40
Dipodomys,merriami,10073,3,16,1985,14,DM,M,47
Dipodomys,merriami,1008,6,9,1978,18,DM,F,37
Dipodomys,merriami,10080,3,16,1985,6,DM,M,45
Dipodomys,merriami,10081,3,16,1985,6,DM,F,33
Dipodomys,merriami,10083,3,16,1985,17,DM,F,42
Dipodomys,merriami,10092,3,17,1985,2,DM,F,38
Dipodomys,merriami,10093,3,17,1985,5,DM,M,49
Dipodomys,merriami,10095,3,17,1985,3,DM,M,48
Dipodomys,merriami,10096,3,17,1985,5,DM,M,42
Dipodomys,merriami,101,8,20,1977,5,DM,F,46
Dipodomys,merriami,10100,3,17,1985,4,DM,F,33
Dipodomys,merriami,10107,3,17,1985,13,DM,M,39
Dipodomys,merriami,10109,3,17,1985,2,DM,F,43
Dipodomys,merriami,10110,3,17,1985,5,DM,F,41
Dipodomys,merriami,10111,3,17,1985,15,DM,F,43
Dipodomys,merriami,10112,3,17,1985,13,DM,F,40
Dipodomys,merriami,10114,3,17,1985,2,DM,F,39
Dipodomys,merriami,10115,3,17,1985,4,DM,F,40
Dipodomys,merriami,10116,3,17,1985,9,DM,F,43
Dipodomys,merriami,10117,3,17,1985,9,DM,F,42
Dipodomys,merriami,10121,3,17,1985,9,DM,M,40
Dipodomys,merriami,10122,3,17,1985,8,DM,F,50
Dipodomys,merriami,10124,3,17,1985,1,DM,F,37
Dipodomys,merriami,10125,3,17,1985,4,DM,F,39
Dipodomys,merriami,10128,3,17,1985,8,DM,M,43
Dipodomys,merriami,10130,3,17,1985,11,DM,M,43
Dipodomys,merriami,10131,3,17,1985,1,DM,M,41
Dipodomys,merriami,10134,3,17,1985,1,DM,M,40
Dipodomys,merriami,10136,4,20,1985,14,DM,M,52
Dipodomys,merriami,10137,4,20,1985,17,DM,M,47
Dipodomys,merriami,10138,4,20,1985,18,DM,M,51
Dipodomys,merriami,10142,4,20,1985,14,DM,M,48
